"id","Layout","Layout percent","Mirror","Mirror percent","Palette","Palette percent","Region","Region percent","Vortex","Vortex direction","Vortex direction percent","Vortex percent","rarity","rank","id again"
153,"Rings",13.87,"None",97.85,"Tellurica",1.66,"Topology",99.61,"None",,,95.8,"0.214987806314048568445685",694,153
154,"Flame",15.43,"None",97.85,"Sidra",0.98,"Topology",99.61,"None",,,95.8,"0.141195638258756167582320",485,154
155,"Marblelike",14.26,"None",97.85,"Wemel",0.78,"Topology",99.61,"None",,,95.8,"0.103858825586552391828654",376,155
156,"Vapor",13.67,"None",97.85,"Uviko",0.29,"Topology",99.61,"None",,,95.8,"0.037016537407196889453154",132,156
157,"Oleo",13.96,"None",97.85,"Rubero",1.76,"Topology",99.61,"None",,,95.8,"0.229417934434796799703093",769,157
158,"Nebula",4.49,"None",97.85,"Yikrato",2.93,"Topology",99.61,"None",,,95.8,"0.122840970957763084836500",440,158
159,"Cellophane",5.66,"None",97.85,"Oranaz",2.15,"Topology",99.61,"None",,,95.8,"0.113627688042826982539601",416,159
160,"Cellophane",5.66,"None",97.85,"Radiosa",1.46,"Topology",99.61,"None",,,95.8,"0.077161127694198791693303",306,160
161,"Oleo",13.96,"None",97.85,"Dorado",3.03,"Topology",99.61,"None",,,95.8,"0.394963830305360363848166",950,161
162,"Flame",15.43,"None",97.85,"Drago",1.56,"Topology",99.61,"None",,,95.8,"0.224760403758836380117003",738,162
163,"Vapor",13.67,"None",97.85,"Yikrato",2.93,"Topology",99.61,"None",,,95.8,"0.373994671045127180519785",920,163
164,"Nebula",4.49,"None",97.85,"Frugal",3.52,"Topology",99.61,"None",,,95.8,"0.147576866133558415317140",515,164
165,"Flame",15.43,"None",97.85,"Uniqum",0.78,"Topology",99.61,"None",,,95.8,"0.112380201879418190058502",404,165
166,"Oleo",13.96,"None",97.85,"Folera",1.76,"Topology",99.61,"None",,,95.8,"0.229417934434796799703093",766,166
167,"Oleo",13.96,"None",97.85,"Dorado",3.03,"Topology",99.61,"None",,,95.8,"0.394963830305360363848166",947,167
168,"Oleo",13.96,"None",97.85,"Flama",2.15,"Topology",99.61,"None",,,95.8,"0.280254863087961991752195",837,168
169,"Vapor",13.67,"None",97.85,"Plumbo",0.88,"Topology",99.61,"None",,,95.8,"0.112326044545976763688877",398,169
170,"Cells",3.81,"None",97.85,"Rubero",1.76,"Topology",99.61,"None",,,95.8,"0.062613347435284794073596",236,170
171,"Marblelike",14.26,"None",97.85,"Vaporo",1.76,"Topology",99.61,"None",,,95.8,"0.234348119272220795084039",780,171
172,"Rings",13.87,"None",97.85,"Cascara",1.07,"Topology",99.61,"None",,,95.8,"0.138576477563874700393853",463,172
173,"Marblelike",14.26,"None",97.85,"Vaporo",1.76,"Topology",99.61,"None",,,95.8,"0.234348119272220795084039",781,173
174,"Cells",3.81,"None",97.85,"Plomizo",2.25,"Topology",99.61,"None",,,95.8,"0.080045472573517489900397",310,174
175,"Filaments",4.39,"None",97.85,"Grava",0.68,"Topology",99.61,"None",,,95.8,"0.027874219274011596825247",129,175
176,"Rings",13.87,"None",97.85,"Amber",0.68,"Topology",99.61,"None",,,95.8,"0.088067294152742781054855",330,176
177,"Oleo",13.96,"None",97.85,"Jovica",1.17,"Topology",99.61,"None",,,95.8,"0.152510785959495548391729",531,177
178,"Rings",13.87,"None",97.85,"Yikrato",2.93,"Topology",99.61,"None",,,95.8,"0.379466429216965217552371",927,178
179,"Partitions",0.59,"None",97.85,"Xenoid",1.07,"Topology",99.61,"None",,,95.8,"0.005894745620957899528980",69,179
180,"Rings",13.87,"None",97.85,"Barin",1.46,"Topology",99.61,"None",,,95.8,"0.189085660975006564221701",637,180
181,"Rings",13.87,"None",97.85,"Yikrato",2.93,"Topology",99.61,"None",,,95.8,"0.379466429216965217552371",925,181
182,"Rings",13.87,"None",97.85,"Zovia",2.54,"Topology",99.61,"None",,,95.8,"0.328957245805833298213372",892,182
